SiteName,State,Address,City,Acres,DNI,EstPVCap
WENATCHEE LANDFILL,WA,25 WORTHEN STREET,WENATCHEE,1.0,4.59,
WENATCHEE ORCHARD,WA,1404 Northwestern Ave.,WENATCHEE,1.0,4.59,
HAMM CREEK,WA,AREAWIDE,SEATTLE,,3.5,
LAKE WASHINGTON TECHNICAL COLLEGE,WA,6505 176TH AVE. NE,REDMOND,3.0,3.41,
RAINIER COURT - PARCEL O,WA,3616 34th Avenue S,SEATTLE,0.0,3.51,
UW BOAT STREET MARINA,WA,1401 NE Boat Street,SEATTLE,8.0,3.5,1.33
PYLE PROPERTY (FORMER),WA,4416 Fruit Valley Road,VANCOUVER,0.0,3.38,
WEST OLYMPIA LANDFILL,WA,1305 Cooper Point Road SW,OLYMPIA,28.0,3.11,
JEFFERSON AVE,WA,"S 21st to 23rd/ Tacoma Ave S to Jefferson Ave.,",TACOMA,6.0,3.33,
RG HALEY,WA,500 Cornwall Ave,BELLINGHAM,7.0,3.28,
BOAT STREET MARINA,WA,1401 NE Boat Street,SEATTLE,8.0,3.5,1.33
COMMUNITY HEALTHCARE HILLTOP CLINIC,WA,1202 Martin Luther King Jr. Way				,TACOMA				,1.0,3.33,
SWINOMISH TRIBAL ECONOMIC ZONE 1,WA,Padilla Bay-West of Swinomish Channel,LACONNER,145.0,4.29,24.17
NEWPORT INDUSTRIAL PARK DEVELOPMENT,WA,Corner of 1st Street and State Street,NEWPORT,2.0,4.7,0.38
TSEWHITSEN VILLAGE CEMETARY,WA,"Lot 2 Short plat volume 32, page 99",PORT ANGELES,12.0,3.2,
TACOMA - PAULSON'S FINE CARS,WA,1020 South J Street,TACOMA,0.0,3.33,
TACOMA - MEDICAL CENTER - FORMER,WA,1002 S. 10th Street,TACOMA,0.0,3.33,
TACOMA - DECOSMO SITE,WA,1007 South 11th Street,TACOMA,0.0,3.33,
BREMERTON GASWORKS,WA,1721-25 Pennsylvania Avenue,BREMERTON,4.0,3.21,
COLMAN BUILDING,WA,2203 East Union Street,SEATTLE,0.0,3.5,
U OF W TACOMA - STROM PROPERTY,WA,"1727, 1733, 1735, & 1737 Fawcett Ave.",TACOMA,1.0,3.33,
U OF W TACOMA - HENDRICKS PROPERTY,WA,1732 Market St.,TACOMA,0.0,3.33,
U OF W TACOMA - LAM PROPERTY,WA,1726 Market St.,TACOMA,0.0,3.33,
TACOMA - MARTIN LUTHER KING DEVELOPMENT PROPERTY,WA,1023 MLK Jr. Way,TACOMA,0.0,3.33,
TACOMA - EASLEY PROPERTY,WA,1001-1005 South 11th Street,TACOMA,0.0,3.33,
FOOTHILLS RECYCLING,WA,4399 Valley highway,DEMING,50.0,3.14,
THE BLUE ORIGINS BUILDING,WA,13 South Nevada Street,SEATTLE,2.0,3.41,
PALOUSE - OLD PALOUSE PRODUCERS,WA,J and Main Streets,PALOUSE,0.0,4.95,
SOUTH CLE ELUM RAILYARD,WA,801 Milwaukee Avenue,SOUTH CLE ELUM,12.0,4.47,2.08
BREMERTON HOUSING AUTHORITY BLOCK PLAT 51,WA,17 lots btwn 7th & 8th Street & Warren & Park Aves,BREMERTON,2.0,3.21,
PACIFIC NORTHWEST SALMON CENTER,WA,22751 NE Highway 3,BELFAIR,7.0,3.14,
U OF W TACOMA - JOY BUILDING,WA,1716 - 1730 Pacific Avenue,TACOMA,0.0,3.33,
MCCARVER PARK,WA,2141 South I Street,TACOMA,4.0,3.33,
PEASLEY CANYON - FORMER GAS STATION,WA,612 West Valley Highway South,AUBURN,2.0,3.04,
SNELL/RODERICK TIMBER COMPANY,WA,200 H St S,ABERDEEN,337.0,2.89,
PIONEER INDUSTRIES PROPERTY,WA,7200 Blockk of 8th Avenue South,SEATTLE,,3.41,
FORMER GENERAL DISPOSAL,WA,1415 Ballard Way NW,SEATTLE,2.0,3.5,
FORMER MAMCO MANUFACTURING/NEUVANT AEROSPACE,WA,1401 NW 50th Street,SEATTLE,1.0,3.5,
BRY'S AUTO WRECKING II/KENYON ST.,WA,110 South Kenyon Street,SEATTLE,,3.41,
GLACIER NW TERMINALS PROPERTY,WA,5900 West Marginal Way South,SEATTLE,,3.41,
SEACON PROPERTY,WA,16120 Fork Teanaway Rd N,CLE ELUM,,4.73,
CRITES AUTO REBUILD (CITY OF AUBURN),WA,12 1st Street SW,AUBURN,,3.15,
SOUTH PARK LANDFILL PROPERTY,WA,B/t 509 & 99 North of S. Cloverdale & Sullivan Sts,,,3.5,
BOULEVARD PARK/UNOCAL STATION,WA,11845 Des Moines Memorial Drive,SEATTLE,,3.33,
BOULEVARD PARK/SHELL STATION,WA,12666 Des Moines Way South,SEATTLE,,3.33,
DOC FREEMAN PROPERTIES,WA,3831 and 3939 Stone Way North,SEATTLE,,3.5,
KWICK CLEANERS PROPERTY,WA,2701 15th Avenue South,SEATTLE,,3.41,
SAUNDER DOOR CO. PROPERTY,WA,815 6th Street South,KIRKLAND,,3.41,
STARROW ENTERPRISES PROPERTY,WA,3102 B Street NW,AUBURN,,3.15,
STERNOFF METALS PROPERTY,WA,7201 East Marginal Way,SEATTLE,,3.41,
TOXCON (PENBERTHY) PROPERTY,WA,631 South 96th Street,SEATTLE,,3.41,
COLEMAN CREOSOTE PROPERTY,WA,333 Elliott Avenue West,SEATTLE,,3.5,
DYNO BATTERY COMPANY PROPERTY,WA,4248 23rd Avenue West,SEATTLE,,3.5,
PACE CHEMICAL PROPERTY,WA,500 7th Avenue South,KIRKLAND,,3.41,
PIER 1 PROPERTY,WA,2130 Harbor Avenue Southwest,SEATTLE,,3.41,
KVICHAK MARINE INDUSTRIES (FMR. FLOHR METAL FAB.),WA,"Ballard/Fremont, 469 NW Bowdoin Place",SEATTLE,2.0,3.5,0.35
WEST SEATTLE JUNCTION PROPERTY,WA,4200 West AK Street,SEATTLE,,3.41,
CHROME PLATING WORKS,WA,Fremont District,SEATTLE,,3.5,
BALLARD OIL BULK PLANT,WA,1101 NW 45th Street,SEATTLE,,3.5,
GEORGETOWN GASOLINE STATION,WA,4th Avenue & E. Marginal Way,SEATTLE,,3.41,
PAINTING BUSINESS/CENTRAL PAINTING,WA,West Marginal Way South,SEATTLE,,3.41,
AFFORDABLE AUTO WRECKING YARD,WA,9820 Martin Luther King Jr. Way South,SEATTLE,,3.51,
MOBILE TRUCK SERVICES,WA,Duwamish Corridor,SEATTLE,,3.5,
US PRINTING INK MANUFACTURING FACILITY,WA,Duwamish Corridor in Tukwilla,TUKWILLA,,3.33,
SOUTH PARK/CROSBY PROPERTY FRAME & AXLE,WA,South Park 14th Avenue,SEATTLE,,3.5,
PEDERSON PROPERTY,WA,South Park - 14th Avenue,SEATTLE,,3.5,
ACE RADIATOR SHOP,WA,311 South Brandon,SEATTLE,,3.41,
BALLARD AUTO WRECKING,WA,1515 NW Leary Way,SEATTLE,,3.5,
BALLARD RECYCLING,WA,Ballard Industrial Area,SEATTLE,,3.5,
PIONEER ENAMEL MANUFACTURING,WA,5531 Airport Way South,SEATTLE,,3.41,
RAINIER UNOCAL,WA,6230 Rainier Avenue South,SEATTLE,,3.51,
ALL METAL FABRICATORS,WA,2952 1st Avenue South,SEATTLE,,3.41,
AMERICAN TILE WHOLESALE,WA,4435 S. 134th Place,TUWILA,,3.33,
BURFIT PROPERTY,WA,1500 West Bertona Avenue,SEATTLE,,3.5,
